k,Cosine Accuracy,Euclidean Accuracy,Cosine F1-Score,Euclidean F1-Score,Cosine Top-k Accuracy,Euclidean Top-k Accuracy,Cosine AUC,Euclidean AUC
1,0.4131354568854569,0.6684523809523809,0.4190727469486376,0.6649722095492546,0.0,0.0,0.6606333205379235,0.8059259630626816
2,0.37363256113256116,0.6424308236808236,0.378230499988189,0.6395505021605948,0.0,0.0,0.7229013613031375,0.8351483695726442
3,0.4129906692406692,0.6576817889317889,0.42558018476076087,0.657159276876278,0.0,0.0,0.7469543245270286,0.8513345749995691
4,0.45154440154440156,0.6585907335907336,0.45915413857996024,0.6596149042329045,0.0,0.0,0.7678201758962515,0.8593095506031954
5,0.4551158301158301,0.6594514157014159,0.46216397942202914,0.6603760576673444,0.0,0.0,0.7797234399440451,0.8687470322340761
6,0.4667310167310167,0.6594835907335908,0.4725237612052607,0.6607912659748288,0.0,0.0,0.7908354163559498,0.8713165112974183
7,0.47480694980694976,0.6531531531531531,0.481267810026047,0.6554510302300989,0.0,0.0,0.7996691444732481,0.8773336929680022
8,0.48017213642213646,0.6505067567567566,0.48700906787742904,0.65267152302977,0.0,0.0,0.8061850545227699,0.882534580438868
9,0.4999356499356499,0.6531853281853282,0.5036475141917214,0.6562190581121132,0.0,0.0,0.8081166579488034,0.8867345825651848
10,0.5034990347490347,0.66130148005148,0.5072033256049641,0.6647073092555612,0.0,0.0,0.8136925838814589,0.8874395553679225
11,0.5025981338481339,0.6648568211068211,0.5038168084638451,0.6687556587543193,0.0,0.0,0.8172332058000593,0.8868822420991223
12,0.49453024453024463,0.6630791505791506,0.4956457541393121,0.6669976851350001,0.0,0.0,0.8161606509547591,0.891091342634408
13,0.5080035392535392,0.6621460746460747,0.5089167841312188,0.6663578957269706,0.0,0.0,0.8194309127752097,0.8927188156177415
14,0.5169481981981983,0.6567487129987131,0.5155567566371625,0.6609215156636904,0.0,0.0,0.821222195338623,0.8948926981240959
15,0.5259250321750322,0.6603362290862291,0.5226958156973981,0.6648301601079082,0.0,0.0,0.8226658560205212,0.8957637780789
