Perplexity,Learning Rate,Iterations,Silhouette Score
5,10,300,-0.085279256
5,10,500,-0.002634715
5,10,1000,0.0036371225
5,100,300,-0.10488371
5,100,500,-0.09823955
5,100,1000,-0.09645351
5,500,300,-0.097332396
5,500,500,-0.04045487
5,500,1000,-0.02618265
10,10,300,0.048868146
10,10,500,0.04722036
10,10,1000,0.051204853
10,100,300,-0.046481367
10,100,500,-0.040263224
10,100,1000,-0.03912062
10,500,300,-0.016739156
10,500,500,0.027361155
10,500,1000,0.03268729
30,10,300,0.06377306
30,10,500,0.059366897
30,10,1000,0.05828588
30,100,300,0.02430452
30,100,500,0.04429189
30,100,1000,0.04640042
30,500,300,-0.052477032
30,500,500,-0.039095826
30,500,1000,-0.024881167
50,10,300,0.08418973
50,10,500,0.078131355
50,10,1000,0.075635724
50,100,300,0.051732153
50,100,500,0.0623799
50,100,1000,0.060884837
50,500,300,-0.09367208
50,500,500,-0.03924187
50,500,1000,-0.017617166
